"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",TIME,""Value"",""Flag Codes"""
"ISL,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2011"",,""M"""
"ISL,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2012"",,""M"""
"ISL,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2013"",114.162,"
"ISL,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2016"",111.919,"
"ISL,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2005"",,""M"""
"ISL,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2010"",,""M"""
"ISL,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2011"",,""M"""
"ISL,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2012"",,""M"""
"ISL,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2013"",133.746,"
"ISL,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2016"",124.979,"
"IRL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2005"",,""M"""
"IRL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2010"",,""M"""
"IRL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2011"",,""M"""
"IRL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2012"",,""M"""
"IRL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2013"",,""M"""
"IRL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2014"",143.861,"
"IRL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2015"",140.303,"
"IRL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2016"",163.122,"
"IRL,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2005"",,""M"""
